peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
104.67,1.82,V,53,0,0,0,0,4,0,N,0,1,0
73.62,1.77,V,45,0,0,5,0,0,0,N,1,4,4
63,1.7,M,29,0,13,0,20,13,0,N,3,2,3
93.11,1.65,M,47,80,3,0,7,12,0,N,2,2,1
70,1.68,M,34,0,8,2,5,10,0,N,1,2,4
67.78,1.57,M,44,70,0,2,23,6,0,N,3,4,4
112.04,1.81,V,40,190,0,3,10,1,4,N,3,4,4
82.98,1.68,M,27,50,0,0,10,0,0,N,0,2,1
94.4,1.82,V,34,0,0,5,0,3,0,N,1,1,1
53.87,1.73,M,49,0,27,2,14,9,0,N,1,3,3
64.55,1.69,M,38,0,8,3,9,8,0,N,2,4,4
118.04,1.72,M,34,160,1,0,6,4,0,N,0,0,0
78.11,1.74,V,33,0,8,0,19,15,0,N,1,3,1
65.06,1.61,M,52,0,0,0,0,0,0,N,0,2,3
71.75,1.74,V,50,0,11,3,0,1,0,N,0,1,1
55.27,1.71,M,45,0,6,4,0,0,0,N,3,4,4
66.65,1.67,M,53,0,0,9,0,1,0,N,4,4,4
71.8,1.61,M,35,0,0,5,0,0,0,N,0,0,2
71.06,1.71,V,48,10,10,5,2,0,0,N,0,0,0
75.49,1.8,V,25,0,6,0,5,8,0,N,2,4,4
80.92,1.7,M,45,0,1,0,27,15,0,N,2,3,4
75.23,1.66,V,65,0,0,0,9,3,0,N,1,4,3
53.73,1.57,M,23,0,0,5,0,0,0,N,2,4,4
83.86,1.74,V,32,10,0,1,0,0,0,N,1,1,0
91.13,1.74,V,37,0,0,0,11,8,4,N,1,2,3
90.98,1.73,M,37,0,4,0,7,11,0,N,0,1,1
55.73,1.56,M,31,30,10,4,26,9,0,N,1,3,3
55.73,1.61,M,50,50,17,0,1,0,2,N,0,1,3
63.71,1.65,M,56,20,8,0,14,5,0,N,2,3,4
66.83,1.69,V,23,0,2,0,5,0,0,N,2,1,1
72.54,1.69,V,34,20,0,1,6,1,0,N,3,4,4
89.64,1.72,V,18,0,0,6,0,4,1,N,0,1,1
80.16,1.68,M,46,0,0,0,4,2,0,N,1,2,3
60.28,1.83,V,18,0,9,0,0,0,0,N,2,3,3
66.36,1.84,V,54,0,20,0,0,1,0,N,0,0,2
72.58,1.75,V,65,0,14,0,11,10,0,N,0,2,3
70.74,1.75,M,19,0,0,1,0,0,0,N,1,2,4
94.1,1.78,M,43,70,0,0,12,5,7,N,2,3,3
92.02,1.8,V,53,0,12,0,14,10,0,N,1,0,1
80.53,1.74,V,18,0,0,2,20,12,0,N,3,4,4
60.62,1.62,M,43,0,0,0,0,0,0,N,1,3,3
83.01,1.78,V,39,0,0,5,0,0,0,N,0,2,1
53.51,1.71,V,31,0,8,1,8,2,0,N,2,4,4
56.17,1.58,M,53,0,7,5,3,5,0,N,2,3,3
70.76,1.71,V,47,0,0,1,11,4,NA,N,2,4,4
85.53,1.64,V,37,30,0,5,7,0,0,N,0,0,0
86.4,1.83,V,51,0,0,0,18,4,0,N,2,3,1
62.73,1.61,M,60,0,8,2,17,13,0,N,2,4,4
93.38,1.73,V,61,0,4,4,9,6,0,N,0,0,0
55.76,1.76,M,57,10,16,1,0,0,0,N,3,3,4
68.51,1.59,M,61,0,3,0,2,1,0,N,2,1,1
70.14,1.63,M,34,50,10,3,12,6,7,N,0,0,0
54.69,1.61,M,43,10,10,3,0,5,5,N,3,4,3
78.54,1.61,M,66,60,5,4,8,11,1,N,1,3,3
83.67,1.67,M,65,0,0,0,12,0,0,N,1,0,1
99.36,1.73,V,18,110,0,0,0,1,NA,N,0,1,2
91.58,1.73,M,29,50,0,0,0,0,0,N,1,2,2
99.99,1.62,M,50,90,0,0,19,12,0,N,1,1,1
91.26,1.75,M,61,0,0,2,0,0,0,N,1,1,2
70.55,1.69,M,21,0,0,4,3,0,0,N,0,2,3
80.59,1.65,M,23,0,0,5,15,11,0,N,0,1,3
68.02,1.68,V,64,0,0,0,0,1,6,N,4,4,4
68.54,1.54,M,32,50,0,0,10,0,0,N,2,2,2
77.75,1.76,V,30,0,0,2,3,6,0,N,1,4,2
90.42,1.81,V,38,0,0,4,1,0,0,N,0,1,1
56.39,1.77,V,63,0,17,2,0,0,0,N,2,3,4
88.13,1.67,M,25,80,0,0,2,0,0,N,0,1,2
71.61,1.78,V,18,0,4,0,0,6,0,N,1,4,4
99.37,1.65,M,65,0,0,0,8,14,0,N,2,1,0
92,1.76,V,32,10,0,3,0,0,3,N,1,0,0
80.31,1.62,M,27,0,5,0,9,8,1,N,0,0,1
93.05,1.77,V,51,0,0,0,17,9,0,N,0,2,3
85.42,1.66,M,37,90,2,0,6,0,0,N,0,1,0
49.6,1.66,M,50,0,18,0,0,0,0,N,1,2,1
99.63,1.77,V,26,130,1,6,10,3,3,N,1,3,1
73.06,1.63,M,42,40,0,2,9,3,0,N,1,2,3
51.32,1.61,M,46,0,6,2,0,0,0,N,1,4,4
65.05,1.76,V,35,0,1,3,10,0,0,N,2,4,4
74.13,1.61,M,18,60,1,2,0,5,0,N,0,3,4
103.75,1.7,M,54,100,0,4,0,3,0,N,2,2,1
92.53,1.59,M,33,0,0,4,2,16,0,N,0,0,0
82.14,1.62,M,18,0,0,4,0,3,0,S,0,0,0
71.24,1.57,M,67,0,4,2,2,6,0,N,1,2,1
52.99,1.64,M,45,70,15,3,17,6,0,N,3,3,2
78.46,1.68,V,26,0,0,6,9,4,1,N,1,2,3
58.26,1.69,V,42,0,15,0,2,6,0,N,0,1,1
90.98,1.73,V,35,50,0,0,7,0,0,N,0,1,1
64.58,1.57,M,21,0,0,7,21,12,0,N,2,4,4
79.93,1.75,V,38,0,0,0,8,5,0,N,2,4,4
81.39,1.61,M,50,0,0,7,7,0,0,N,1,0,0
80.74,1.79,V,56,0,0,0,1,0,2,N,1,3,3
74.82,1.84,V,67,0,19,0,3,10,NA,N,2,2,4
52.02,1.7,M,40,0,21,0,0,0,0,N,2,3,3
61.24,1.72,M,27,0,8,5,0,0,0,N,1,2,1
92.4,1.71,M,35,90,0,3,0,6,4,N,3,4,3
74.77,1.78,V,53,0,11,0,14,15,0,N,2,4,4
72.53,1.63,M,43,50,7,0,0,0,0,N,1,1,1
81.57,1.66,M,27,20,0,0,7,13,0,N,2,4,3
73.38,1.68,M,41,0,3,4,3,4,0,N,2,4,3
76.04,1.78,V,37,0,0,3,0,4,5,N,3,4,4
64,1.56,M,44,0,0,1,19,5,0,N,3,3,4
55.71,1.57,M,18,0,2,4,5,0,0,N,2,2,2
76.26,1.79,V,34,0,5,3,4,0,2,N,0,1,2
67.75,1.72,V,18,0,0,0,0,2,0,N,2,4,4
72.84,1.61,M,48,50,0,0,3,3,0,N,1,3,4
80.72,1.68,M,21,0,1,5,0,6,0,N,2,1,2
72.54,1.69,V,72,0,0,2,0,4,0,N,2,4,4
86.36,1.75,V,35,120,7,2,0,0,0,N,1,3,4
87.57,1.7,M,62,0,4,3,16,11,0,N,2,2,1
84.68,1.7,V,27,0,0,0,0,7,0,N,1,3,3
51.04,1.67,M,53,110,18,0,9,0,0,S,3,4,4
80.38,1.6,M,39,0,0,2,0,2,0,N,0,0,0
75.39,1.74,V,36,20,8,0,0,0,0,N,1,1,3
86.47,1.77,V,70,0,0,5,0,0,0,N,1,2,3
63,1.7,V,43,0,6,1,0,0,0,N,2,3,4
64.98,1.56,M,51,0,13,3,8,12,7,N,1,2,2
89.91,1.77,V,47,30,0,1,4,5,0,N,2,4,2
83.5,1.73,V,67,0,0,2,4,2,0,N,2,2,2
93.24,1.79,V,18,40,0,6,0,0,0,N,1,1,0
62.17,1.63,M,43,0,3,2,0,0,0,N,1,4,3
67.84,1.71,V,43,0,20,0,10,14,0,S,1,1,2
69.61,1.63,M,67,0,11,0,0,2,1,N,0,1,0
72.54,1.68,M,47,0,1,0,0,0,0,N,2,2,1
69.15,1.68,V,18,0,0,3,0,0,0,N,1,2,2
60.96,1.68,M,27,10,4,2,5,0,0,N,1,4,4
110.22,1.66,M,48,170,0,0,12,0,0,N,0,0,0
70.47,1.64,M,47,0,0,4,7,0,0,N,0,3,3
101.06,1.75,V,47,70,0,0,2,12,2,N,3,4,4
90.04,1.75,V,55,0,0,0,10,2,0,N,0,0,1
82.61,1.84,V,55,0,8,0,0,4,5,N,2,3,4
84.18,1.64,M,42,0,0,2,8,7,0,N,0,1,1
67.12,1.69,V,55,0,5,0,1,0,0,N,1,2,2
88.54,1.69,M,31,0,0,0,10,6,0,N,0,0,0
63.59,1.57,M,35,0,0,0,1,1,2,N,0,2,3
90.91,1.64,M,28,100,0,0,7,3,0,N,0,2,1
44.94,1.58,M,22,0,20,0,12,7,0,N,2,3,2
89.44,1.81,V,38,0,0,0,13,0,0,N,1,1,0
83.43,1.72,M,47,0,1,2,3,0,0,N,1,1,2
46.12,1.5,M,37,20,16,0,27,6,0,N,0,0,2
86.2,1.73,M,60,160,12,0,5,0,0,N,1,3,1
82.76,1.65,M,20,90,3,4,0,0,0,N,0,2,0
87.09,1.61,M,39,0,0,5,0,14,0,N,0,1,1
94.77,1.83,V,36,0,0,0,6,0,0,N,2,1,1
79.87,1.68,M,43,0,0,2,0,0,0,N,0,1,1
69.93,1.64,M,21,0,8,1,0,10,3,N,2,3,4
109.26,1.79,V,18,160,0,1,13,9,0,N,2,3,4
57.45,1.67,M,40,0,9,0,13,5,0,N,2,3,3
82.83,1.67,M,49,0,0,0,0,0,1,N,1,1,1
74.95,1.66,M,28,0,5,4,4,6,5,N,1,1,0
57.69,1.72,M,64,0,5,3,0,0,0,N,2,4,4
73.31,1.77,V,21,0,0,6,6,0,0,N,2,3,3
53.94,1.63,M,19,0,13,0,12,6,0,N,0,1,2
75.58,1.64,M,34,0,0,3,0,0,0,N,0,0,1
67.91,1.7,V,31,10,0,0,0,0,0,N,2,4,4
90.07,1.8,V,40,0,0,3,0,0,0,N,0,0,0
90.8,1.62,M,27,70,4,0,12,10,0,S,1,0,0
49.6,1.66,V,30,0,23,4,0,0,0,N,0,1,0
79.93,1.74,V,62,0,9,3,0,5,0,N,0,1,1
72.13,1.73,V,47,0,0,0,0,0,0,N,3,4,4
76.52,1.63,M,52,0,0,7,0,7,0,N,1,3,4
84.21,1.71,M,23,110,0,5,0,3,0,N,1,4,3
66.27,1.72,V,50,0,5,1,5,0,0,S,1,4,4
53.66,1.61,M,44,0,7,4,1,0,0,N,1,4,3
83.58,1.65,M,41,10,0,1,0,0,0,N,1,0,1
88.77,1.82,V,53,0,0,2,11,0,1,N,1,3,3
65.46,1.56,M,39,0,0,0,0,0,0,N,0,2,4
65.76,1.68,M,52,0,7,1,0,7,0,S,2,3,4
69.12,1.64,M,37,0,9,0,12,5,0,N,1,1,2
66.55,1.69,M,59,0,0,2,11,1,0,N,3,4,3
64.74,1.7,M,36,0,1,6,0,0,NA,N,2,4,3
45.51,1.59,M,18,0,14,3,5,4,0,N,3,2,0
83.59,1.8,V,33,0,0,0,4,0,0,N,1,2,3
73.73,1.6,M,34,0,0,3,0,0,0,N,1,1,2
70.28,1.67,M,55,0,0,0,2,2,0,N,1,3,2
59.62,1.82,V,22,0,14,2,0,1,0,N,3,4,2
76.01,1.7,V,55,0,0,0,1,1,0,N,3,3,2
78.07,1.71,V,51,0,11,0,6,7,0,N,1,0,1
82.27,1.67,V,45,90,0,7,0,2,0,N,1,3,2
54.45,1.65,M,18,0,0,1,4,0,0,S,3,4,2
114.66,1.81,V,49,10,0,8,22,14,0,N,0,0,0
76.05,1.66,M,38,0,0,0,26,2,0,N,1,0,0
77.16,1.66,M,47,0,0,5,0,0,0,N,2,2,1
70.41,1.72,V,49,0,1,4,0,1,0,N,2,4,4
96.38,1.65,M,65,100,0,4,5,12,1,N,1,3,4
74.13,1.63,M,40,0,0,0,11,9,0,N,3,3,2
95.1,1.76,M,49,190,9,0,0,2,0,N,1,4,4
105.49,1.81,V,35,50,5,0,13,11,0,S,1,1,1
71.29,1.78,V,20,0,0,6,8,4,0,N,3,4,4
73.57,1.66,V,56,0,0,3,0,0,0,N,0,2,2
50.65,1.62,M,18,0,9,6,11,0,0,N,1,2,2
86.49,1.81,V,42,0,0,0,10,4,0,N,2,3,3
78.01,1.77,V,68,0,2,0,17,5,0,N,1,4,4
92.84,1.65,M,32,120,0,2,0,0,0,S,1,2,2
65.02,1.7,V,32,0,10,0,4,2,0,N,1,1,2
50.2,1.67,M,51,0,12,0,16,0,1,N,1,3,4
66.04,1.68,M,46,0,6,4,15,11,0,N,2,3,2
60.69,1.7,V,50,0,13,0,0,2,0,N,1,1,1
82.57,1.64,M,36,10,0,0,15,9,0,N,1,2,2
67.39,1.61,V,32,0,0,5,0,0,0,S,0,2,1
86.39,1.72,V,25,10,0,5,0,0,0,N,0,1,1
91.38,1.76,V,52,0,0,0,0,10,0,N,1,3,3
83.65,1.64,M,60,0,1,0,0,10,0,N,2,2,3
82.38,1.75,V,28,30,0,3,0,0,0,N,1,2,2
80.54,1.75,V,46,0,3,4,0,0,0,N,1,1,1
66.38,1.67,M,50,0,5,0,0,3,0,N,0,2,4
95.85,1.72,M,56,0,0,0,5,8,0,N,0,1,1
72.75,1.66,M,18,0,1,3,0,0,1,N,0,2,2
79.01,1.73,V,47,0,0,3,0,0,0,N,1,3,3
75.15,1.71,V,55,40,0,0,0,2,0,N,2,4,4
76.54,1.69,M,51,0,0,0,1,0,0,N,0,3,3
74.56,1.71,M,33,0,2,1,0,1,0,N,0,2,1
99.86,1.58,M,40,220,2,0,2,4,0,N,1,3,3
91.75,1.84,V,25,0,0,3,0,4,0,N,2,2,3
74.66,1.79,V,47,0,0,4,0,1,0,N,2,4,3
80.03,1.8,V,40,20,4,0,0,0,10,N,2,2,3
65.31,1.66,M,18,0,0,4,0,3,0,N,2,4,4
95.62,1.71,V,25,180,4,0,9,0,8,N,2,3,3
70.76,1.81,V,48,0,11,2,7,10,0,N,2,3,2
111.56,1.67,V,25,180,0,6,0,8,0,N,1,1,1
85.21,1.65,M,60,0,6,2,25,19,0,N,1,2,2
73,1.77,V,38,0,0,5,8,2,0,N,3,4,2
107.67,1.69,V,55,0,1,0,21,18,0,N,0,0,0
77.51,1.82,V,34,40,1,0,0,0,0,N,4,4,4
91.69,1.8,V,34,0,3,2,18,10,12,N,1,2,3
78.4,1.72,V,32,0,0,0,0,0,0,N,1,1,1
56.39,1.77,V,38,0,12,2,0,1,0,N,3,4,4
82.01,1.73,V,54,0,0,4,4,3,7,N,1,3,3
83.63,1.79,V,42,0,0,5,0,0,0,N,2,2,4
100.72,1.9,V,46,0,0,2,1,0,0,N,0,2,2
68.73,1.74,V,47,0,6,4,7,0,0,N,2,2,3
72.25,1.68,M,28,0,0,2,0,3,0,N,1,3,3
117.92,1.73,M,39,230,0,6,0,0,0,N,1,2,2
84.87,1.76,V,41,0,0,4,15,5,2,N,1,2,1
78.72,1.74,V,19,0,7,4,6,8,0,N,0,2,3
76.99,1.81,V,45,0,0,4,0,4,0,N,3,4,4
73.85,1.66,M,58,0,0,1,3,1,0,N,1,2,3
68.61,1.66,M,58,0,6,2,0,0,0,N,0,2,1
90.65,1.71,M,41,0,0,0,7,8,0,N,1,1,0
78.41,1.73,V,18,0,6,1,32,17,0,N,1,3,4
50.2,1.67,M,49,0,18,3,3,0,0,N,2,3,3
69.97,1.65,M,18,30,0,0,0,0,0,N,0,3,3
85.15,1.66,M,62,0,0,5,5,3,0,N,0,1,1
121.1,1.74,V,28,210,9,4,9,15,0,N,1,1,2
73.97,1.69,V,39,0,2,1,12,9,0,N,4,4,4
87.13,1.78,V,51,0,7,0,18,3,0,N,0,0,0
69.63,1.74,V,31,0,0,0,10,6,0,N,4,4,4
66.07,1.55,M,59,0,0,0,4,4,0,N,0,2,3
72.42,1.65,M,18,0,0,0,12,0,0,N,1,1,2
75.39,1.74,V,18,0,0,0,6,2,0,N,0,3,3
65.84,1.75,V,46,0,7,6,0,2,0,N,3,4,4
105.09,1.79,V,53,0,0,2,0,4,0,N,0,0,0
94.67,1.64,M,38,120,0,0,5,3,0,N,3,2,3
86.59,1.74,V,32,0,0,5,0,8,0,N,1,2,4
92.31,1.67,V,55,50,0,2,7,1,0,N,1,0,2
70.85,1.74,V,39,0,8,4,7,11,0,N,1,3,3
69.44,1.67,V,50,0,7,5,0,2,NA,N,0,1,1
97.05,1.82,V,42,0,0,0,4,6,0,N,1,2,0
84.87,1.76,V,65,0,0,3,0,4,0,N,2,3,3
74.56,1.71,V,60,0,4,0,14,5,0,N,1,3,4
77.05,1.68,V,58,0,0,0,19,8,0,N,2,4,4
68.87,1.68,M,18,0,0,4,1,0,0,N,1,3,1
81.14,1.77,V,24,20,3,0,7,0,0,N,1,1,0
116.8,1.84,V,51,190,0,2,8,0,0,N,1,3,3
63.23,1.63,M,56,0,12,4,21,12,0,S,2,3,3
64.35,1.68,M,37,0,0,0,14,6,0,N,4,4,4
75.3,1.67,V,25,0,4,3,0,5,0,S,0,2,3
70.13,1.75,V,29,10,8,3,4,3,0,N,1,1,0
66.05,1.6,M,18,50,14,2,0,10,1,N,2,2,2
83.81,1.7,M,25,0,5,0,5,11,0,N,0,1,1
78.82,1.79,V,42,0,1,9,0,3,0,N,1,3,4
74.27,1.7,M,30,0,3,4,12,7,0,N,2,3,3
84.59,1.77,V,35,0,0,0,27,9,0,N,3,3,3
55.32,1.72,V,45,60,29,6,12,8,3,S,1,0,0
110.26,1.78,V,44,110,0,2,0,0,0,N,0,2,0
75.85,1.64,M,47,0,0,1,8,6,0,N,1,2,3
76.54,1.69,M,44,70,0,0,9,3,0,N,3,4,4
59.62,1.82,V,18,0,22,4,0,0,0,N,0,2,2
92.73,1.77,V,27,140,2,1,8,3,0,N,2,4,4
102.02,1.7,V,63,50,0,7,0,7,0,N,2,2,2
69.52,1.72,V,37,0,0,4,24,0,0,N,2,3,3
51.04,1.67,V,58,0,24,0,15,13,0,N,1,2,4
62.67,1.74,V,22,0,6,0,11,1,0,N,2,3,2
54.75,1.68,M,24,0,6,1,15,2,0,N,4,4,4
98,1.75,V,47,60,0,0,0,1,0,N,1,2,3
77.4,1.57,M,65,0,3,0,4,4,0,N,0,1,0
70.18,1.77,V,46,0,10,0,15,9,0,N,2,3,3
71.2,1.63,M,23,0,0,1,0,0,0,N,1,1,1
59.76,1.72,M,29,0,3,4,0,0,4,N,4,4,3
62.97,1.77,M,28,0,8,6,0,0,0,N,1,2,2
83.56,1.74,M,39,40,0,1,0,2,0,N,3,3,3
89.77,1.81,V,28,0,0,3,0,0,0,N,2,1,1
58.64,1.8,V,45,0,15,7,20,1,6,N,1,2,2
69.85,1.79,V,23,0,0,10,0,0,0,N,3,4,3
79.94,1.81,V,47,0,0,0,0,0,0,N,2,3,4
65.26,1.67,M,73,0,4,1,13,2,0,N,2,3,4
69.65,1.7,M,43,0,0,6,0,0,0,N,1,3,4
80.54,1.69,V,24,0,1,0,3,0,NA,N,1,1,0
53.14,1.63,M,45,0,16,4,0,0,0,N,1,1,1
63.16,1.71,V,32,0,3,0,0,0,0,N,2,3,3
105.51,1.78,V,60,60,0,1,9,0,0,N,1,1,1
83.91,1.75,M,29,0,3,2,0,0,0,N,0,0,1
58.32,1.8,V,42,0,15,0,12,0,2,N,0,2,3
63.96,1.83,V,54,0,16,1,13,8,0,N,1,3,4
57.67,1.79,V,37,0,19,3,0,0,1,N,2,2,1
60.25,1.74,V,39,0,9,0,0,0,0,N,2,3,2
60.66,1.61,M,18,0,5,0,0,0,1,N,1,1,2
87.85,1.56,M,67,0,0,4,18,17,4,N,1,1,1
98.54,1.69,V,53,0,0,1,20,16,0,N,2,1,1
89.4,1.69,M,45,40,0,0,16,4,0,N,0,1,1
84.83,1.75,V,20,60,0,3,0,5,0,N,2,3,4
95.83,1.65,M,45,0,0,4,13,18,0,N,0,1,1
70.14,1.63,M,26,20,0,3,1,6,0,S,3,4,3
66.1,1.61,M,30,0,0,2,0,0,0,N,1,1,0
85.84,1.77,V,38,0,0,2,0,0,0,N,0,2,2
89.01,1.74,M,66,0,0,0,0,3,0,N,1,2,1
99.33,1.79,V,49,0,7,3,14,13,5,N,0,0,0
67.65,1.61,M,57,0,0,1,9,5,0,N,2,3,4
71.67,1.67,M,47,0,8,2,13,10,0,N,1,2,4
74.26,1.72,M,44,20,8,3,2,5,4,N,1,3,3
76.87,1.7,M,20,0,0,2,4,5,0,N,2,2,2
108.9,1.65,M,18,220,0,2,0,1,0,N,0,0,2
88.08,1.83,V,26,80,10,3,10,1,3,N,1,2,2
87.69,1.84,V,63,110,17,4,12,0,0,N,1,1,1
101.02,1.86,V,43,0,0,0,0,3,0,N,0,1,3
46.66,1.61,M,22,0,12,0,11,0,0,N,2,4,4
92.93,1.76,V,18,0,2,1,0,4,0,N,0,0,0
85.18,1.81,V,36,0,0,4,0,6,0,N,1,3,4
84.67,1.68,M,49,0,0,0,8,1,0,N,0,0,1
75.85,1.64,V,29,0,0,2,17,9,4,N,2,3,2
112.04,1.81,V,60,50,0,0,5,7,0,N,1,2,1
74.6,1.65,M,18,30,0,5,9,0,0,N,0,1,2
126.74,1.78,V,51,230,2,0,0,7,5,N,1,2,1
70.67,1.63,M,28,0,2,0,3,6,0,N,0,2,2
67.82,1.74,V,23,0,7,3,2,0,0,N,2,2,2
90.11,1.6,M,48,130,0,5,2,2,1,N,1,1,2
57.98,1.78,V,18,0,17,0,5,0,0,N,1,1,1
77.32,1.81,V,18,90,6,0,0,0,0,N,2,3,3
68.63,1.72,V,41,0,1,0,13,0,0,N,2,3,4
94.02,1.81,V,43,0,0,0,26,14,0,S,3,4,4
68.84,1.73,V,23,0,0,9,0,1,0,N,0,4,4
73.7,1.64,M,59,0,0,3,0,3,0,S,1,2,2
83.21,1.81,V,25,0,6,1,6,3,0,N,1,2,0
76.87,1.7,V,45,0,1,5,0,0,0,N,0,2,1
47.24,1.62,M,38,0,25,0,10,0,0,N,3,4,4
88.11,1.79,V,23,10,1,0,7,0,7,N,0,0,1
82.69,1.6,M,29,120,0,0,0,0,0,N,1,1,2
100.9,1.81,V,31,0,0,3,20,14,0,S,1,2,3
68.92,1.77,V,25,0,11,2,5,5,0,N,2,2,1
65.38,1.72,V,27,0,10,1,6,2,0,N,0,1,3
94.58,1.73,V,37,50,0,4,0,0,3,N,1,1,1
99.11,1.69,M,50,70,1,4,0,8,0,N,1,2,0
68.15,1.76,V,28,0,11,2,0,4,0,N,2,3,2
86.85,1.65,M,43,70,0,6,18,3,0,N,1,1,0
81.11,1.69,M,20,50,2,0,14,2,1,N,1,2,2
52.02,1.7,V,60,30,21,0,9,6,0,S,1,3,4
84.2,1.81,V,52,0,1,0,0,0,0,N,0,3,2
82.38,1.78,V,67,0,0,0,0,2,4,S,2,4,4
81.99,1.67,M,33,40,0,0,0,2,0,N,1,2,4
66.18,1.7,M,18,0,0,0,9,0,1,N,1,3,4
94.22,1.62,M,51,200,3,0,2,0,0,N,1,2,2
85.98,1.74,M,46,0,0,5,24,15,0,N,2,4,4
54.02,1.6,M,25,0,5,0,0,0,0,N,2,3,3
74.55,1.72,V,34,0,0,0,0,3,0,N,3,4,4
86.19,1.79,V,38,30,1,3,0,2,0,S,2,3,3
89.3,1.7,V,18,0,0,0,10,9,0,N,0,0,1
72.26,1.69,V,37,0,0,4,0,1,2,N,2,4,3
81.67,1.65,M,52,120,10,5,4,5,0,N,0,2,3
80.59,1.65,M,23,80,0,0,0,3,0,N,2,2,2
76.58,1.79,V,19,60,8,0,0,0,0,N,1,2,2
64.92,1.68,M,35,0,5,7,1,1,0,N,2,3,3
62.42,1.72,M,68,0,4,4,13,0,0,S,2,4,3
63.16,1.58,M,18,0,0,0,7,0,0,N,1,2,4
75.73,1.71,M,38,0,6,3,3,12,0,N,2,3,3
79.91,1.73,V,41,0,6,1,7,1,1,N,0,0,1
73.27,1.74,V,43,0,8,0,12,10,0,N,1,2,2
80.1,1.79,V,71,0,3,0,16,3,0,N,1,3,2
74.66,1.79,V,40,0,4,2,2,2,2,S,2,4,3
59.69,1.69,M,35,0,0,0,18,0,0,N,2,4,4
76.76,1.77,V,38,0,0,0,0,0,0,N,1,3,2
60.94,1.75,V,38,0,13,0,0,5,0,N,0,2,3
104.04,1.85,V,72,0,0,3,6,0,0,N,0,0,1
100.85,1.66,M,26,90,0,0,21,11,0,N,1,0,0
82.1,1.63,M,58,0,0,2,0,2,0,N,1,1,1
74.86,1.71,V,58,0,1,0,0,0,0,N,2,3,3
72.96,1.65,M,59,0,8,1,8,8,0,N,1,2,2
53.25,1.72,M,24,0,19,4,9,4,0,N,0,1,3
83.26,1.68,M,48,0,0,1,0,1,0,N,1,1,1
54.27,1.6,M,25,0,6,1,0,0,0,N,1,2,3
77.39,1.56,M,34,0,0,4,8,9,0,N,0,2,2
72.25,1.68,M,32,30,0,0,0,0,0,N,3,3,3
107.35,1.87,V,22,0,0,2,0,6,0,N,1,1,0
59.69,1.69,M,58,0,21,5,5,4,0,N,0,1,0
87.4,1.69,M,41,0,0,5,14,9,0,N,1,2,0
76.2,1.68,M,18,0,0,0,0,0,0,N,1,1,2
80.2,1.77,V,25,80,3,4,0,0,0,S,2,4,4
